Metric,Value
design_powergrid__voltage__worst,0.00017458
design_powergrid__voltage__worst__net:VPWR,1.79973
design_powergrid__drop__worst,0.000270822
design_powergrid__drop__worst__net:VPWR,0.000270822
design_powergrid__voltage__worst__net:VGND,0.00017458
design_powergrid__drop__worst__net:VGND,0.00017458
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,5.379999999999999867717915950394991231320318547659553587436676025390625E-8
ir__drop__worst,0.0002709999999999999735489364383056454244069755077362060546875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
